,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,start_latlng,end_latlng,external_id
141,5717703826,Afternoon Ride,2021-07-31T14:33:09Z,Ride,25140.4,4602,5180,316.0,"[-22.160267, -43.291141]","[-22.159423, -43.290361]",garmin_push_7223127657
142,5679451378,Morning Ride,2021-07-24T08:31:03Z,Ride,52426.9,10031,10056,831.1,"[-22.159493, -43.290328]","[-22.159432, -43.290443]",garmin_push_7181451615
143,5651997405,Morning Ride,2021-07-19T07:34:07Z,Ride,27285.4,4707,4707,362.0,"[-22.159247, -43.290383]","[-22.15926, -43.290453]",garmin_push_7151637079
144,5649399692,Afternoon Ride - The return,2021-07-18T14:35:15Z,Ride,33203.1,5925,6073,450.7,"[-22.15939, -43.290431]","[-22.159367, -43.290417]",garmin_push_7148710247
145,5568870317,Morning Ride,2021-07-03T09:58:25Z,Ride,45252.6,7384,8354,434.7,"[-22.159454, -43.290359]","[-22.159346, -43.290444]",garmin_push_7063206488
146,5542434979,Morning Ride,2021-06-28T07:30:39Z,Ride,27384.7,4579,4579,374.0,"[-22.159512, -43.290229]","[-22.159035, -43.290463]",garmin_push_7035035754
147,5531508270,Morning Ride,2021-06-26T06:34:19Z,Ride,39348.1,7651,9479,573.6,"[-22.159685, -43.290366]","[-22.159386, -43.290322]",garmin_push_7023510063
148,5495322239,Morning Ride,2021-06-19T08:13:32Z,Ride,35450.3,6921,8312,442.5,"[-22.158762, -43.288438]","[-22.159307, -43.290453]",garmin_push_6985240406
149,5490620846,Morning Ride,2021-06-18T07:32:48Z,Ride,25612.5,4716,4820,438.0,"[-22.159379, -43.290401]","[-22.159468, -43.290392]",garmin_push_6980255595
150,5479435624,Morning Ride,2021-06-16T07:42:02Z,Ride,26461.8,4480,4480,385.0,"[-22.159269, -43.29047]","[-22.159409, -43.29035]",garmin_push_6968392736
151,5457570564,Morning Ride,2021-06-12T07:07:09Z,Ride,60932.4,12382,16542,915.0,"[-22.159329, -43.290505]","[-22.159126, -43.29075]",garmin_push_6945544076
152,5411861442,Morning Ride,2021-06-04T07:46:51Z,Ride,52346.1,9125,9125,864.0,"[-22.159338, -43.290433]","[-22.159277, -43.290438]",garmin_push_6898024825
153,5400278395,Morning Ride,2021-06-02T07:47:04Z,Ride,32154.0,4443,4443,260.0,"[-22.15933, -43.290383]","[-22.159265, -43.290459]",garmin_push_6886016750
154,5379415050,Afternoon Ride,2021-05-29T14:41:37Z,Ride,44596.3,7873,8678,622.0,"[-22.159508, -43.290604]","[-22.159188, -43.290553]",garmin_push_6864341291
155,5360813296,Morning Ride,2021-05-26T08:02:16Z,Ride,25523.3,4589,4833,420.0,"[-22.159338, -43.29036]","[-22.159377, -43.290398]",garmin_push_6845247121
156,5350056944,Morning Ride,2021-05-24T07:41:37Z,Ride,25457.9,3764,3788,276.0,"[-22.159456, -43.290624]","[-22.159348, -43.290383]",garmin_push_6834091949
157,5339251602,Morning Ride,2021-05-22T07:13:50Z,Ride,51862.1,10831,15029,764.3,"[-22.159436, -43.290245]","[-22.159592, -43.290704]",garmin_push_6822853032
158,5333602538,Morning Ride,2021-05-21T07:39:01Z,Ride,23472.8,4088,4148,283.0,"[-22.158887, -43.290338]","[-22.159399, -43.290407]",garmin_push_6816928744
159,5322884517,Morning Ride,2021-05-19T07:34:20Z,Ride,26250.5,3865,3983,320.0,"[-22.15938, -43.290225]","[-22.159348, -43.290385]",garmin_push_6805854665
160,5312374728,Morning Ride,2021-05-17T07:53:34Z,Ride,27259.9,4358,4384,369.0,"[-22.158839, -43.290435]","[-22.159329, -43.290393]",garmin_push_6795208031
161,5296121848,Morning Ride,2021-05-14T07:50:41Z,Ride,32140.2,4352,4575,253.0,"[-22.159724, -43.289944]","[-22.159314, -43.290414]",garmin_push_6778567825
162,5283968315,Morning Ride,2021-05-12T07:42:34Z,Ride,31253.0,4786,4861,352.0,"[-22.159804, -43.289789]","[-22.159406, -43.290431]",garmin_push_6766086990
163,5273021281,Morning Ride,2021-05-10T07:41:33Z,Ride,31045.3,5092,5118,434.0,"[-22.158726, -43.290477]","[-22.159138, -43.290791]",garmin_push_6754899419
164,5256874557,Morning Ride,2021-05-07T07:46:36Z,Ride,26178.5,3946,4079,306.0,"[-22.159421, -43.290326]","[-22.15934, -43.290364]",garmin_push_6738010706
165,5240259720,Morning Ride,2021-05-04T07:51:13Z,Ride,27288.7,4216,4216,349.0,"[-22.159426, -43.290285]","[-22.159423, -43.290426]",garmin_push_6721045958
166,5223990044,Morning Ride,2021-05-01T08:07:41Z,Ride,57023.2,11141,11948,867.7,"[-22.159451, -43.290329]","[-22.159394, -43.290393]",garmin_push_6704414792
167,5184304436,Morning Ride - PS x Sucupira x Avelar x Sertão x Membeca,2021-04-24T08:58:28Z,Ride,68509.6,11391,11484,984.7,"[-22.159436, -43.290243]","[-22.159659, -43.290576]",garmin_push_6664098554
168,5177412515,Morning Ride,2021-04-23T07:28:25Z,Ride,32882.0,5392,5943,419.0,"[-22.159836, -43.290448]","[-22.159166, -43.290493]",garmin_push_6657131346
169,5166232251,Morning Ride,2021-04-21T07:35:32Z,Ride,44059.1,7114,7281,608.0,"[-22.159416, -43.290348]","[-22.159311, -43.290394]",garmin_push_6645978738
170,5155110922,Morning Ride,2021-04-19T07:56:02Z,Ride,30537.6,4275,4332,241.0,"[-22.15992, -43.290275]","[-22.1593, -43.290382]",garmin_push_6634772361
171,5142512440,Morning Ride,2021-04-17T07:53:00Z,Ride,58080.6,10388,12182,745.1,"[-22.159399, -43.290333]","[-22.159246, -43.290658]",garmin_push_6622262309
172,5136414085,Morning Ride,2021-04-16T07:41:25Z,Ride,31536.5,4982,5027,431.0,"[-22.159465, -43.290368]","[-22.159087, -43.290556]",garmin_push_6616188035
173,5125211919,Morning Ride,2021-04-14T07:37:20Z,Ride,38432.8,6732,7080,571.0,"[-22.159301, -43.290167]","[-22.159445, -43.290705]",garmin_push_6605084178
174,5114083998,Morning Ride,2021-04-12T07:38:53Z,Ride,28593.3,4644,4644,360.0,"[-22.15945, -43.290237]","[-22.159347, -43.290395]",garmin_push_6594176534
175,5102121704,Morning Ride,2021-04-10T07:01:31Z,Ride,64014.1,10360,12488,571.0,"[-22.159386, -43.2904]","[-22.159053, -43.290466]",garmin_push_6582344312
176,5095940594,Morning Ride,2021-04-09T07:37:45Z,Ride,27192.9,4211,4228,351.0,"[-22.159619, -43.290953]","[-22.159425, -43.290368]",garmin_push_6576211516
177,5084258063,Morning Ride,2021-04-07T07:44:08Z,Ride,36345.6,5032,5032,263.5,"[-22.159449, -43.29017]","[-22.159046, -43.29035]",garmin_push_6564851528
178,5073275184,Morning Ride,2021-04-05T07:49:14Z,Ride,25479.0,3750,3750,273.0,"[-22.159369, -43.290417]","[-22.159328, -43.290372]",garmin_push_6553949404
179,5061968166,Morning Ride,2021-04-03T07:26:52Z,Ride,56280.0,12142,14669,807.0,"[-22.159749, -43.289963]","[-22.159311, -43.290428]",garmin_push_6542929987
180,5049444892,Morning Ride,2021-04-01T07:36:31Z,Ride,34798.7,6223,6553,589.0,"[-22.159791, -43.290387]","[-22.159349, -43.290412]",garmin_push_6530619866
181,5044090782,Morning Ride,2021-03-31T07:49:19Z,Ride,33303.0,5295,5794,358.0,"[-22.159478, -43.290343]","[-22.159373, -43.290407]",garmin_push_6525339683
182,5030938190,Morning Ride,2021-03-29T07:54:11Z,Ride,27341.9,4785,4785,349.0,"[-22.15944, -43.290356]","[-22.159325, -43.290435]",garmin_push_6512420286
183,5013176158,Morning Ride,2021-03-26T07:49:59Z,Ride,27791.4,4569,4815,306.0,"[-22.159497, -43.290356]","[-22.159339, -43.290399]",garmin_push_6494705881
184,4978421514,Morning Ride - Kamikaze na Globoaves,2021-03-20T07:39:18Z,Ride,51985.0,9434,11813,713.0,"[-22.159388, -43.290302]","[-22.159298, -43.290425]",garmin_push_6461003975
185,4972165613,Morning Ride,2021-03-19T07:29:37Z,Ride,26323.0,4202,4924,324.0,"[-22.15958, -43.290263]","[-22.15909, -43.290469]",garmin_push_6454880266
186,4961561902,Morning Ride ++,2021-03-17T07:49:31Z,Ride,32541.2,5522,5522,436.0,"[-22.159273, -43.290303]","[-22.158969, -43.290348]",garmin_push_6444368895
187,4955704272,Morning Ride,2021-03-16T07:52:10Z,Ride,22002.1,4631,5619,406.0,"[-22.159564, -43.290201]","[-22.159391, -43.290346]",garmin_push_6438591313
188,4950513378,Morning Ride,2021-03-15T07:45:39Z,Ride,26445.5,4373,4373,376.0,"[-22.159468, -43.290335]","[-22.159397, -43.290242]",garmin_push_6433410360
189,4940880311,Morning Ride,2021-03-13T07:50:13Z,Ride,78309.2,13430,18344,1158.0,"[-22.15938, -43.290301]","[-22.158854, -43.290247]",garmin_push_6423766451
